OBJECTID,CSA2010,tpop10,male10,female10,paa17,pwhite17,pasi17,p2more17,ppac17,phisp17,racdiv17,age5_17,age18_17,age24_17,age64_17,age65_17,hhs10,femhhs17,fam17,hhsize10,mhhi17,hh25inc17,hh40inc17,hh60inc17,hh75inc17,hhm7517,hhpov17,hhchpov17,Shape__Area,Shape__Length
21,Greater Mondawmin,9089,3908,5181,94.0037407855649,1.49631422598745,0.40708548795247,2.64055451644845,0.429090108922873,1.02321487512377,12.8332632521826,3.81780173836505,14.280999009792,17.1636043569149,48.7402354494443,15.9973594454835,3466,74.3872549019607,25.6765261170547,2.49,37254.4509803921,36.1548143486469,15.6073001887979,18.9112649465072,11.9257394587791,17.4008810572687,18.7683284457478,37.4691358024691,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,7625,3632,3993,5.99344262295082,77.7704918032786,8.99672131147541,3.01639344262295,0.957377049180328,3.2655737704918,37.4651083464967,5.53442622950819,14.2163934426229,10.0983606557377,49.7704918032786,20.3803278688524,3398,9.24170616113744,26.5325369380697,1.99,113496.137873754,9.52530650738761,8.39358692235146,8.29927695693178,8.42502357749135,65.3568060358377,2.14689265536723,3.79241516966067,56688145.1790161,39862.7497953118
23,Greater Rosemont,17348,8093,9255,96.8123126585197,1.56213972792252,0.155637537468296,0.593728383675351,0.23057412958266,0.64560756283145,7.18375166927863,7.04980401198985,16.3765275536084,10.7505187917915,54.2367996310813,11.5863500115287,6893,64.6935568360398,32.5601228040252,2.79,35055.4076354679,35.3914378304622,21.4565921882995,16.6297117516629,8.73273068395019,17.7895275456251,23.6338797814207,43.2466233116558,42204384.5406494,32559.0762211491
24,Hamilton,13866,6529,7337,61.6760421174094,30.6649358142218,1.55055531515938,4.03865570460118,0.432713111207269,1.63709793740083,52.4254688959706,6.85129092744843,18.9672580412519,6.77196019039376,58.3225155055531,9.08697533535266,5139,41.3887370147621,35.4594804187669,2.5,65130.4990654205,19.1740984877859,13.4742148119426,13.8037999224505,10.3722373012795,43.1756494765412,8.99765533411488,13.0777903043968,45191100.5593872,27712.1110915054
25,Harford/Echodale,16138,7642,8496,57.181806915355,37.2474903953401,0.601065807411079,1.71644565621514,0,3.25319122567852,54.643662355479,8.35295575659933,11.4140537860949,6.92774817201635,61.0546536125914,12.2505886726979,6914,41.5168539325842,26.4644662503716,2.42,55808.7038895859,19.35771632471,12.9497472494796,22.6583407671721,11.4778471602735,33.5563484983645,10.157096424702,18.2306477093206,65360039.1698608,40019.1854001996
26,Highlandtown,7627,4027,3600,10.5546086272453,68.5328438442375,1.82247279402124,2.22892356103317,0,16.8611511734626,51.0356620532343,9.23036580569031,5.96564835452995,7.09322145011144,68.2575062278746,9.45325816179362,3196,12.6689189189189,17.2745841844178,2.29,82652.1329268292,16.9827837758972,10.0671140939597,10.5339947475926,8.75401225561715,53.6620951269331,6.65251238499646,14.6106736657917,11684191.1186523,14976.1238513698
27,Howard Park/West Arlington,11315,5413,5902,94.0609809986743,3.08440123729562,0.185594343791427,1.73221387538665,0.159080866106937,0.777728678745028,11.5806258259485,4.1714538223597,11.4980114891736,8.36058329650905,51.2063632346442,24.7635881573133,4204,40.1433691756272,20.4395604395604,2.54,53318.2522123893,27.9120879120879,11.062271062271,16.5567765567765,11.6971916971916,32.7716727716727,15.4718693284936,21.6447744146202,63262430.0730591,36034.4984469719
28,Inner Harbor/Federal Hill,13589,6663,6926,13.8862315107807,71.9184634630951,5.22481418794613,2.71543159908749,1.00080947825447,5.25424976083597,45.449877128465,4.26815806902641,5.68106556773861,10.1626315402163,68.9013172418868,10.9868275811317,6724,22.8316326530612,11.8464792988818,1.96,98763.4645799011,14.8534300392867,7.026291931097,11.9522514354789,7.44938047748564,58.7186461166515,2.33570863024544,8.21292775665399,24995836.2615967,43415.0595478862
29,Lauraville,12219,5957,6262,53.9405843358703,36.6232915950568,0.621982158932809,2.70889598166789,2.22604141091742,3.87920451755462,58.3360139871968,5.76151894590392,13.1516490711187,8.86324576479253,56.7558720026188,15.4677142155659,4686,32,25.1959686450167,2.58,67320.3718152866,14.3337066069428,11.2653975363941,17.5363941769316,14.0649496080627,42.7995520716685,7.488679902473,16.5616561656165,49665744.2354736,34419.676527973
30,Loch Raven,17066,7879,9187,87.0209773819289,8.32649712879409,0.919957810851986,0.720731278565569,0.984413453650533,2.02742294620883,25.7426665522607,3.85561936013125,17.8717918668698,10.2015703738427,53.2520801593812,14.8189382397749,6589,59.1826176927056,29.0720409084072,2.34,52079.9806603773,18.2132651526545,16.6040006015942,27.8086930365468,12.1371634832305,25.2368777259738,5.38502961766289,6.47364108167167,44147812.3265381,29314.3346718286
